id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1243665541455327235,Fri Mar 27 22:25:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @derekjames150: Do you remember when #DonaldTrump called #Coronavirus a ""hoax"". It's hard to believe there are still people who want to…",Do remember called `` hoax '' It 's hard believe still people want to…,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)",-0.2916666666666667,0.5416666666666666,en,0,1738,rgculley,,"DonaldTrump, Coronavirus",derekjames150,"Doncaster, UK",
1243665537487470594,Fri Mar 27 22:25:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Condor_Law: @Acosta #FakeNewsCNN: “The USA has the highest number of #coronavirus cases in the world!”

#FactCheck:
The USA has
The hig…",“ The USA highest number cases world ” The USA The hig…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,21,Atkins1S,,"FakeNewsCNN, coronavirus, FactCheck","Condor_Law, Acosta",In aboat ona riverof Dreams Co,
1243665533347581952,Fri Mar 27 22:25:43 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @StevenTDennis: Johns Hopkins count has USA topping 100K cases of COVID-19,Johns Hopkins count USA topping K cases COVID-19,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,SofiaGrimsgard,,,StevenTDennis,"New York, NY",
1243665529077764096,Fri Mar 27 22:25:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CBCTheNational: #AtIssue: Did the Liberal government overreach with a proposed bill to broadly tax and spend without parliamentary appr…,Did Liberal government overreach proposed bill broadly tax spend without parliamentary appr…,"Sentiment(polarity=0.0625, subjectivity=0.3125)",0.0625,0.3125,en,0,103909,edwardtbarnes1,,AtIssue,CBCTheNational,,
1243665524875280385,Fri Mar 27 22:25:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Julius_S_Malema: ”Due to limited resources to combat the Covid-19 Pandemic in world, we have created this App (Tool) for everyone to be…",” Due limited resources combat Covid-19 Pandemic world created App Tool everyone be…,"Sentiment(polarity=-0.09821428571428571, subjectivity=0.2589285714285714)",-0.09821428571428571,0.2589285714285714,en,0,41,Asemahle_19,,,Julius_S_Malema,South Africa,
1243665520781475840,Fri Mar 27 22:25:40 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KissMeCole: Costco employees are testing positive for Covid-19. . . Costco, where hundreds of people go weekly to get “essentials.” Now…",Costco employees testing positive Covid-19 Costco hundreds people go weekly get “ essentials. ” Now…,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)",0.22727272727272727,0.5454545454545454,en,0,1306,yvonnethejiraf,,,KissMeCole,"Arizona, USA",
1243665516406943746,Fri Mar 27 22:25:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @rose_k01: BRILLIANT report by @palkisu @WIONews First China put The World in ICU by unleashing #WuhanVirus &amp; Now it is  selling them Ve…,BRILLIANT report First China put The World ICU unleashing amp Now selling Ve…,"Sentiment(polarity=0.575, subjectivity=0.6666666666666666)",0.575,0.6666666666666666,en,0,103921,see_jl,,WuhanVirus,"rose_k01, palkisu, WIONews",https://m.youtube.com/watch?v=,
1243665512367718400,Fri Mar 27 22:25:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OMG, this briefing is all about how no one is kissing his butt! I’m done! #coronavirus #corona #trump… https://t.co/56F5H0mbKv",OMG briefing one kissing butt I ’ done …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,16,SavageAF5,,"coronavirus, corona, trump",,,
1243665508169396226,Fri Mar 27 22:25:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @damnit_mann: The only person who can make the cure for Covid-19 https://t.co/u5uYFgQrsS,The person make cure Covid-19,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,7809,ThugDolphin,False,,damnit_mann,northern hemisphere,
1243665504004440066,Fri Mar 27 22:25:36 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TomFitton: DC mayor's precipitous shut down of nation's capital ensures that Congress and the rest of the federal gov't will have limit…,DC mayor 's precipitous shut nation 's capital ensures Congress rest federal gov't limit…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,JasonandtracyG,,,TomFitton,"Texas, USA",
